"ensemble_id","terminal_year","sb_recent_period","sb0_recent_period","recent_depletion_period","f_recent_period","sb_recent_kt","sb0_recent_kt","sb_recent_sb0","recent_mean_depletion","sb_recent_sbmsy","f_recent_fmsy","historical_target_period","historical_target_depletion","recent_historical_target_ratio","below_lrp_020","below_sbmsy","above_fmsy"
"ensemble-059",2024,"2021–2024","2014–2023","2021–2024","2020–2023",268.27525,2053.38225,0.130650418352452,0.131347846785398,0.693396872576893,1.3437248051599,"2012–2015",0.140480790474203,0.934987953456299,TRUE,TRUE,TRUE
"ensemble-062",2024,"2021–2024","2014–2023","2021–2024","2020–2023",286.4195,1949.16475,0.146944736200467,0.14733196394549,0.815313122687162,1.29065565307176,"2012–2015",0.156376692894366,0.942160632882894,TRUE,TRUE,TRUE
"ensemble-063",2024,"2021–2024","2014–2023","2021–2024","2020–2023",313.096375,1402.36875,0.223262515654317,0.223317024953667,1.28476148953632,0.928505106778087,"2012–2015",0.221905936266123,1.00635894970314,FALSE,FALSE,FALSE
"ensemble-065",2024,"2021–2024","2014–2023","2021–2024","2020–2023",274.6056875,1246.74025,0.220258941267036,0.219072794239049,1.37646961152882,0.940733772342427,"2012–2015",0.221409266576279,0.989447269423904,FALSE,FALSE,FALSE
"ensemble-066",2024,"2021–2024","2014–2023","2021–2024","2020–2023",293.13875,1164.7755,0.251669742366662,0.250406193803093,1.54364797261717,0.817661488143908,"2012–2015",0.255529072679795,0.979951874661553,FALSE,FALSE,FALSE
"ensemble-068",2024,"2021–2024","2014–2023","2021–2024","2020–2023",275.713875,1245.01775,0.221453770438213,0.221024355058819,1.27941473317865,0.918273645546373,"2012–2015",0.226715166791999,0.974898848569749,FALSE,FALSE,FALSE
"ensemble-069",2024,"2021–2024","2014–2023","2021–2024","2020–2023",273.1724375,1316.458,0.207505623043044,0.206785676888037,1.21194515306122,0.995024875621891,"2012–2015",0.213059738779782,0.970552569304375,FALSE,FALSE,FALSE
"ensemble-070",2024,"2021–2024","2014–2023","2021–2024","2020–2023",409.895,2380.8725,0.172161676024231,0.172650624927729,0.863300336983993,1.21728545343883,"2012–2015",0.186054852079204,0.927955508810009,TRUE,TRUE,TRUE
"ensemble-071",2024,"2021–2024","2014–2023","2021–2024","2020–2023",321.123125,881.96975,0.364097663213506,0.360488201128678,2.48163156877898,0.535331905781585,"2012–2015",0.370374650117535,0.973306896177373,FALSE,FALSE,FALSE
"ensemble-072",2024,"2021–2024","2014–2023","2021–2024","2020–2023",530.4794375,1907.9165,0.278041223240116,0.276037989843588,1.59207514255702,0.847457627118644,"2012–2015",0.28896251481198,0.955272658888639,FALSE,FALSE,FALSE
"ensemble-073",2024,"2021–2024","2014–2023","2021–2024","2020–2023",305.625875,1630.97425,0.18738853479753,0.186950032206755,1.0930825286123,1.09601052170101,"2012–2015",0.187969411989853,0.994576884758503,TRUE,FALSE,TRUE
"ensemble-074",2024,"2021–2024","2014–2023","2021–2024","2020–2023",324.50575,877.78725,0.369686105602468,0.367585270144392,2.8819338365897,0.497512437810945,"2012–2015",0.364080604992981,1.00962606934659,FALSE,FALSE,FALSE
"ensemble-075",2024,"2021–2024","2014–2023","2021–2024","2020–2023",600.066375,1864.418,0.321851845991618,0.320189097214423,1.61308165322581,0.755857898715042,"2012–2015",0.336780086962439,0.950736428933027,FALSE,FALSE,FALSE
"ensemble-076",2024,"2021–2024","2014–2023","2021–2024","2020–2023",312.84875,1236.46,0.253019709493231,0.252397168915027,1.43640381083563,0.839630562552477,"2012–2015",0.255689379454579,0.987124179554993,FALSE,FALSE,FALSE
"ensemble-078",2024,"2021–2024","2014–2023","2021–2024","2020–2023",525.9984375,1907.52275,0.275749496303517,0.27474046852005,1.47421086743274,0.858369098712446,"2012–2015",0.295056227916819,0.931146142753185,FALSE,FALSE,FALSE
"ensemble-079",2024,"2021–2024","2014–2023","2021–2024","2020–2023",1450.1765625,3923.5155,0.369611528869964,0.366811521151501,1.87506666989915,0.771010023130301,"2012–2015",0.38670394921828,0.948559025303485,FALSE,FALSE,FALSE
"ensemble-080",2024,"2021–2024","2014–2023","2021–2024","2020–2023",300.3849375,1194.573,0.25145800005525,0.250061495239973,1.42362529620853,0.859845227858985,"2012–2015",0.256726231889265,0.974039518282781,FALSE,FALSE,FALSE
"ensemble-081",2024,"2021–2024","2014–2023","2021–2024","2020–2023",876.977375,3382.5595,0.25926443422503,0.259502308259858,1.20298679698217,1.02072062876391,"2012–2015",0.284158937324163,0.913229443717346,FALSE,FALSE,TRUE
"ensemble-082",2024,"2021–2024","2014–2023","2021–2024","2020–2023",281.406125,932.66925,0.301721242551955,0.299547382068176,2.15306905126243,0.645994832041344,"2012–2015",0.299135336138412,1.00137745655556,FALSE,FALSE,FALSE
"ensemble-083",2024,"2021–2024","2014–2023","2021–2024","2020–2023",310.0828125,1548.984,0.200184645225516,0.199792604390928,1.15315289140945,1.08201687946332,"2012–2015",0.203163101419038,0.983409895770599,FALSE,FALSE,TRUE
"ensemble-084",2024,"2021–2024","2014–2023","2021–2024","2020–2023",288.338625,1391.1,0.20727383006254,0.20642212836506,1.26077229995627,1.00492412822832,"2012–2015",0.208500348283579,0.990032535026306,FALSE,FALSE,TRUE
"ensemble-085",2024,"2021–2024","2014–2023","2021–2024","2020–2023",315.0020625,909.211,0.346456501846106,0.343289155210418,2.13995966372283,0.588928150765607,"2012–2015",0.364571746676863,0.941623036726134,FALSE,FALSE,FALSE
"ensemble-086",2024,"2021–2024","2014–2023","2021–2024","2020–2023",443.7370625,883.0545,0.502502464457177,0.49923236267669,2.84629289608724,0.330469266358229,"2012–2015",0.506024768541838,0.986576930048857,FALSE,FALSE,FALSE
"ensemble-087",2024,"2021–2024","2014–2023","2021–2024","2020–2023",646.6109375,1769.936,0.365330123518591,0.362109170905486,2.00561705179901,0.650618087182824,"2012–2015",0.372210065061927,0.972862383088002,FALSE,FALSE,FALSE
"ensemble-088",2024,"2021–2024","2014–2023","2021–2024","2020–2023",526.817375,1864.512,0.28254973687485,0.281266285938217,1.497491117112,0.837520938023451,"2012–2015",0.294384586535624,0.955438221981031,FALSE,FALSE,FALSE
"ensemble-089",2024,"2021–2024","2014–2023","2021–2024","2020–2023",274.374125,1158.52725,0.236830100457283,0.235341901819279,1.46959895554365,0.877963125548727,"2012–2015",0.245020006560123,0.960500757155645,FALSE,FALSE,FALSE
"ensemble-090",2024,"2021–2024","2014–2023","2021–2024","2020–2023",1534.902375,3513.344,0.436877907486429,0.433187213955986,2.2919253023742,0.611995104039168,"2012–2015",0.443522109854037,0.976698126951433,FALSE,FALSE,FALSE
"ensemble-091",2024,"2021–2024","2014–2023","2021–2024","2020–2023",357.305,1087.87675,0.328442537263527,0.327400880554751,2.23315625,0.594530321046373,"2012–2015",0.313103026092957,1.0456650152514,FALSE,FALSE,FALSE
"ensemble-092",2024,"2021–2024","2014–2023","2021–2024","2020–2023",344.96075,1004.697,0.343348044236222,0.341685494452837,2.26649638633377,0.593119810201661,"2012–2015",0.334399354487132,1.02178873812983,FALSE,FALSE,FALSE
"ensemble-093",2024,"2021–2024","2014–2023","2021–2024","2020–2023",677.099375,2590.8445,0.261343116115228,0.260461170093425,1.36374496475327,0.966183574879227,"2012–2015",0.280983055709094,0.926963974521955,FALSE,FALSE,FALSE
"ensemble-094",2024,"2021–2024","2014–2023","2021–2024","2020–2023",1048.763625,3385.3935,0.309790759922,0.308928983973735,1.58687187925556,0.909090909090909,"2012–2015",0.331996455129762,0.930518923321002,FALSE,FALSE,FALSE
"ensemble-095",2024,"2021–2024","2014–2023","2021–2024","2020–2023",944.59775,2783.92475,0.339304340032898,0.337283253050919,1.74505403657861,0.803212851405622,"2012–2015",0.358741241982965,0.940185330202247,FALSE,FALSE,FALSE
"ensemble-098",2024,"2021–2024","2014–2023","2021–2024","2020–2023",283.5355625,2090.3005,0.135643445762942,0.136066552343434,0.77173533614589,1.36221223266585,"2012–2015",0.144817042782443,0.939575548078584,TRUE,TRUE,TRUE
"ensemble-099",2024,"2021–2024","2014–2023","2021–2024","2020–2023",536.684,2037.318,0.263426720816289,0.2625209988886,1.3918153526971,0.893655049151028,"2012–2015",0.280390952702002,0.936267723187226,FALSE,FALSE,FALSE
"ensemble-100",2024,"2021–2024","2014–2023","2021–2024","2020–2023",260.3025,1751.211,0.148641425847599,0.148351445114122,0.876144395826321,1.30089761935736,"2012–2015",0.15069731731422,0.984433218574108,TRUE,TRUE,TRUE
